vol,pdf_idx,expected_printed,textlayer_confirms,band_candidates
1,0,0,,
1,1,0,,
1,2,0,,
1,3,0,,
1,4,0,,
1,5,1,1,1
1,6,2,2,2
1,7,3,,
1,8,4,,
1,9,5,,
1,10,6,6,6
1,11,7,7,7
1,12,8,8,8
1,13,9,9,9
1,14,10,10,10
1,15,11,,1;1
1,16,12,,1;2
1,17,13,,1;3
1,18,14,,1;4
1,19,15,,1;5
1,20,16,16,16
1,21,17,,1;7
1,22,18,18,18
1,23,19,,1;9
1,24,20,20,20
1,25,21,,2;1
1,26,22,,2;2
1,27,23,23,23
1,28,24,,2;4
1,29,25,25,25
1,30,26,26,26
1,31,27,,2;7
1,32,28,,2;8
1,33,29,29,29
1,34,30,30,30
1,35,31,,3;1
1,36,32,,3;2
1,37,33,,
1,38,34,,3;3
1,39,35,,34
1,40,36,,3;5
1,41,37,,36
1,42,38,,3;7
1,43,39,,38
1,44,40,,3;9
1,45,41,,40
1,46,42,,4;1
1,47,43,,4;2
1,48,44,,43
1,49,45,,44
1,50,46,,4;5
1,51,47,,4;6
1,52,48,,47
1,53,49,,4;8
1,54,50,,4;9
1,55,51,,50
1,56,52,,51
1,57,53,,52
1,58,54,,5;3
1,59,55,,54
1,60,56,,5;5
1,61,57,,56
1,62,58,,5;7
1,63,59,,5;8
1,64,60,,59
1,65,61,,60
1,66,62,,6;1
1,67,63,,1;4;1;4
1,68,64,,6;3
1,69,65,,64
1,70,66,,6;5
1,71,67,,6;6
1,72,68,,67
1,73,69,,63
1,74,70,,6;9
1,75,71,,70
1,76,72,,7;1
1,77,73,,72
1,78,74,,7;3
1,79,75,,7;4
1,80,76,,7;5
1,81,77,,76
1,82,78,,7;7
1,83,79,,7;8
1,84,80,,79
1,85,81,,80
1,86,82,,8;1
1,87,83,,82
1,88,84,,83
1,89,85,,84
1,90,86,,8;5
1,91,87,,86
1,92,88,,8;7
1,93,89,,8;8
1,94,90,,89
1,95,91,,9
1,96,92,,91
1,97,93,,9;2
1,98,94,,93
1,99,95,,94
1,100,96,,9;5
1,101,97,,9;6
1,102,98,,97
1,103,99,,98
1,104,100,,99
1,105,101,,100
1,106,102,,1;1
1,107,103,,102
1,108,104,,103
1,109,105,,104
1,110,106,,1;5
1,111,107,,106
1,112,108,,107
1,113,109,,1;8
1,114,110,,109
1,115,111,,1;1
1,116,112,,111
1,117,113,,1;1;2
1,118,114,,1;1;3
1,119,115,,1;1;4
1,120,116,,1;1;5
1,121,117,,116
1,122,118,,1;1;7
1,123,119,,1;1;8
1,124,120,,1;1;9
1,125,121,,120
1,126,122,,121
1,127,123,,1;2;2
1,128,124,,123
1,129,125,,124
1,130,126,,125
1,131,127,,1;26
1,132,128,,127
1,133,129,,128
1,134,130,,1;2;9
1,135,131,,1;3
1,136,132,,1;3;1
1,137,133,,13;2
1,138,134,,133
1,139,135,,1;34
1,140,136,,1;35
1,141,137,,136
1,142,138,,1;3;7
1,143,139,,1;38
1,144,140,,139
1,145,141,,140
1,146,142,,1;4;1
1,147,143,,142
1,148,144,,143
1,149,145,,1;44
1,150,146,,11;1;1;4;5
1,151,147,,146
1,152,148,,1;4;7
1,153,149,,148
1,154,150,,149
1,155,151,,150
1,156,152,,1;5;1
1,157,153,,152
1,158,154,,153
1,159,155,,154
1,160,156,,155
1,161,157,,156
1,162,158,,15;7
1,163,159,,158
1,164,160,,159
1,165,161,,1;6
1,166,162,,1;6;1
1,167,163,,162
1,168,164,,163
1,169,165,,1;6;4
1,170,166,,1;6;5
1,171,167,,166
1,172,168,,16;7
1,173,169,,1;68
1,174,170,,1;69
1,175,171,,170
1,176,172,,1;7;1
1,177,173,,172
1,178,174,,173
1,179,175,,174
1,180,176,,17;5
1,181,177,,1;76
1,182,178,,1;7;7
1,183,179,,1;7;8
1,184,180,,179
1,185,181,,1;8
1,186,182,,18;1
1,187,183,,182
1,188,184,,1;83
1,189,185,,1;8;4
1,190,186,,185
1,191,187,,186
1,192,188,,187
1,193,189,,1;8;8
1,194,190,,1;8;9
1,195,191,,1;9
1,196,192,,1;9;1
1,197,193,,1;92
1,198,194,,1;93
1,199,195,,1;94
1,200,196,,1;95
1,201,197,,196
1,202,198,,197
1,203,199,,198
1,204,200,,199
1,205,201,,200
1,206,202,,20;1
1,207,203,,2;2
1,208,204,,203
1,209,205,,204
1,210,206,,205
1,211,207,,206
1,212,208,,207
1,213,209,,208
1,214,210,,
1,215,211,,2;1
1,216,212,,2;1;1
1,217,213,,212
1,218,214,,2;1;3
1,219,215,,214
1,220,216,,21;5
1,221,217,,216
1,222,218,,2;17
1,223,219,,2;1;8
1,224,220,,219
1,225,221,,220
1,226,222,,2;2;1
1,227,223,,2;2;2
1,228,224,,2;23
1,229,225,,224
1,230,226,,2;2;5
1,231,227,,226
1,232,228,,2;2;7
1,233,229,,2;28
1,234,230,,2;2;9
1,235,231,,230
1,236,232,,23;1
1,237,233,,2;3;2
1,238,234,,233
1,239,235,,2;34
1,240,236,,235
1,241,237,,236
1,242,238,,237
1,243,239,,238
1,244,240,,239
1,245,241,,240
1,246,242,,2;4;1
1,247,243,,24;2
1,248,244,,2;4;3
1,249,245,,244
1,250,246,,2;45
1,251,247,,246
1,252,248,,2;47
1,253,249,,2;4;8
1,254,250,,249
1,255,251,,2;50
1,256,252,,2;51
1,257,253,,252
1,258,254,,54;2;5;3
1,259,255,,254
1,260,256,,2;5;5
1,261,257,,256
1,262,258,,2;57
1,263,259,,258
1,264,260,,259
1,265,261,,260
1,266,262,,261
1,267,263,,262
1,268,264,,2;63
1,269,265,,2;6;4
1,270,266,,2;6;5
1,271,267,,2;6;6
1,272,268,,267
1,273,269,,2;68
1,274,270,,269
1,275,271,,2;7
1,276,272,,2;7;1
1,277,273,,272
1,278,274,,273
1,279,275,,2;7;4
1,280,276,,275
1,281,277,,276
1,282,278,,277
1,283,279,,278
1,284,280,,279
1,285,281,,280
1,286,282,,2;8;1
1,287,283,,282
1,288,284,,2;83
1,289,285,,284
1,290,286,,2;8;5
1,291,287,,286
1,292,288,,287
1,293,289,,288
1,294,290,,289
1,295,291,,2;90
1,296,292,,2;9;1
1,297,293,,2;9;2
2,0,0,,
2,1,293,293,293
2,2,294,294,294
2,3,295,295,295
2,4,296,296,296
2,5,297,297,297
2,6,298,298,298
2,7,299,,
2,8,300,300,300
2,9,301,301,301
2,10,302,302,302
2,11,303,303,303
2,12,304,304,304
2,13,305,305,305
2,14,306,306,306
2,15,307,307,307
2,16,308,308,308
2,17,309,309,309
2,18,310,310,310
2,19,311,311,311
2,20,312,312,312
2,21,313,313,313
2,22,314,314,314
2,23,315,315,315
2,24,316,316,316
2,25,317,,3;17
2,26,318,,31;8
2,27,319,319,319
2,28,320,320,320
2,29,321,,3;2;1
2,30,322,322,322
2,31,323,323,323
2,32,324,324,324
2,33,325,325,325
2,34,326,326,326
2,35,327,327,327
2,36,328,328,328
2,37,329,,3;29
2,38,330,,3;30
2,39,331,,3;3;1
2,40,332,,3;3;2
2,41,333,,3;3;3
2,42,334,,3;3;4
2,43,335,335,335
2,44,336,336,336
2,45,337,337,337
2,46,338,338,338
2,47,339,339,339
2,48,340,,3;40
2,49,341,341,341
2,50,342,342,342
2,51,343,343,343
2,52,344,344,344
2,53,345,345,345
2,54,346,,
2,55,347,347,347
2,56,348,348,348
2,57,349,349,349
2,58,350,350,350
2,59,351,,35;1
2,60,352,352,352
2,61,353,,3;53
2,62,354,354,354
2,63,355,355,355
2,64,356,,3;5;6
2,65,357,357,357
2,66,358,358,358
2,67,359,359,359
2,68,360,360,360
2,69,361,,3;6;1
2,70,362,362,362
2,71,363,363,363
2,72,364,364,364
2,73,365,365,365
2,74,366,366,366
2,75,367,,3;6;7
2,76,368,368,368
2,77,369,369,369
2,78,370,370,370
2,79,371,,3;7;1
2,80,372,,3;7;2
2,81,373,373,373
2,82,374,374,374
2,83,375,375,375
2,84,376,,37;6
2,85,377,377,377
2,86,378,,3;78
2,87,379,379,379
2,88,380,380,380
2,89,381,,3;8;1
2,90,382,,3;82
2,91,383,,38;3
2,92,384,384,384
2,93,385,,38;5
2,94,386,,3;8;6
2,95,387,387,387
2,96,388,388,388
2,97,389,389,389
2,98,390,,
2,99,391,,390
2,100,392,,391
2,101,393,,39;2
2,102,394,,393
2,103,395,,394
2,104,396,,395
2,105,397,,396
2,106,398,,397
2,107,399,,398
2,108,400,,3;9;9
2,109,401,,400
2,110,402,,4;1
2,111,403,,40;2
2,112,404,,
2,113,405,,404
2,114,406,,405
2,115,407,,4;6
2,116,408,,407
2,117,409,,408
2,118,410,,409
2,119,411,,4;1
2,120,412,,41;1
2,121,413,,4;1;2
2,122,414,,413
2,123,415,,414
2,124,416,,4;1;5
2,125,417,,416
2,126,418,,417
2,127,419,,4;18
2,128,420,,41;9
2,129,421,,420
2,130,422,,4;2;1
2,131,423,,422
2,132,424,,42;3
2,133,425,,424
2,134,426,,4;2;5
2,135,427,,426
2,136,428,,427
2,137,429,,428
2,138,430,,429
2,139,431,,430
2,140,432,,43;1
2,141,433,,4;32
2,142,434,,43;3
2,143,435,,434
2,144,436,,4;3;5
2,145,437,,436
2,146,438,,4;3;7
2,147,439,,4;38
2,148,440,,4;3;9
2,149,441,,4;40
2,150,442,,4;4;1
2,151,443,,4;4;2
2,152,444,,443
2,153,445,,444
2,154,446,,445
2,155,447,,446
2,156,448,,447
2,157,449,,448
2,158,450,,449
2,159,451,,4;5
2,160,452,,4;5;1
2,161,453,,452
2,162,454,,453
2,163,455,,4;5;4
2,164,456,,45;5
2,165,457,,456
2,166,458,,457
2,167,459,,458
2,168,460,,459
2,169,461,,46
2,170,462,,4;6;1
2,171,463,,4;6;2
2,172,464,,463
2,173,465,,464
2,174,466,,4;6;5
2,175,467,,466
2,176,468,,467
2,177,469,,4;6;8
2,178,470,,4;6;9
2,179,471,,
2,180,472,,470
2,181,473,,4;7;1
2,182,474,,472
2,183,475,,4;7;3
2,184,476,,474
2,185,477,,4;7;5
2,186,478,,476
2,187,479,,477
2,188,480,,478
2,189,481,,479
2,190,482,,4;8
2,191,483,,48;1
2,192,484,,43;2
2,193,485,,48;3
2,194,486,,484
2,195,487,,485
2,196,488,,486
2,197,489,,487
2,198,490,,488
2,199,491,,4;8;9
2,200,492,,4;9
2,201,493,,4;9;1
2,202,494,,492
2,203,495,,493
2,204,496,,4;9;4
2,205,497,,49;5
2,206,498,,
2,207,499,,4;9;7
2,208,500,,492
2,209,501,,499
2,210,502,,500
2,211,503,,
2,212,504,,502
2,213,505,,503
2,214,506,,5;4
2,215,507,,5;5
2,216,508,,5;6
2,217,509,,5;7
2,218,510,,508
2,219,511,,509
2,220,512,,510
2,221,513,,5;1;1
2,222,514,,5;1;2
2,223,515,,513
2,224,516,,514
2,225,517,,5;1;5
2,226,518,,5;1;6
2,227,519,,5;1;7
2,228,520,,5;1;8
2,229,521,,5;1;9
2,230,522,,5;20
2,231,523,,5;2;1
2,232,524,,5;2;2
2,233,525,,5;23
2,234,526,,5;24
2,235,527,,52;5
2,236,528,,5;26
2,237,529,,527
2,238,530,,5;23
2,239,531,,5;29
2,240,532,,5;30
2,241,533,,5;3;1
2,242,534,,5;3;2
2,243,535,,5;3;3
2,244,536,,5;34
2,245,537,,5;3;5
2,246,538,,5;3;6
2,247,539,,5;3;7
2,248,540,,5;38
2,249,541,,5;3;9
2,250,542,,540
2,251,543,,541
2,252,544,,54;2
2,253,545,,5;4;3
2,254,546,,5;4;4
2,255,547,,5;4;5
2,256,548,,5;4;6
2,257,549,,5;47
2,258,550,,5;4;8
2,259,551,,5;4;9
2,260,552,,5;5
2,261,553,,5;5;1
2,262,554,,5;5;2
2,263,555,,5;5;3
2,264,556,,5;54
2,265,557,,555;1
2,266,558,,5;5;6
2,267,559,,5;5;7
2,268,560,,5;5;3
2,269,561,,2;2;5;5;9
2,270,562,,5;60
2,271,563,,1
2,272,564,,562
2,273,565,,5;6;3
2,274,566,,
2,275,567,,5;6;5
2,276,568,,
2,277,569,,5;6;7
2,278,570,,5;6;3
2,279,571,,5;6;9
2,280,572,,5;70
2,281,573,,5;7;1
2,282,574,,5;7;2
2,283,575,,5;7;3
2,284,576,,5;7;4
2,285,577,,5;7;5
2,286,578,,5;7;6
2,287,579,,57;7
