wrong,suggestion,count,first_page,n_pages,context
adjectif,adjectifs,20,v1p054,15,e différencient selon que cet adjectif qualifie la versificatio
chans,chats,5,v1p046,5,"k, 11), p.10 (il s'agit de la chans. I, , vv.366-7). Sans"
baisant,faisant,4,v1p259,4,s la hisser jusqu'à lui en la baisant! Mais il ne veut pas me
baise,base,4,v1p296,3,vez-vous souffrir que je vous baise ? puisque vous valez tan
modélisant,modélisent,4,v2p152,3,"vec Iouri Lotman son ""système modélisant secondaire"" nous est, e"
résoud,résout,4,v1p108,4,. 36) ? Derek E. T. Nicholson résoud la difficulté en lisant
appat,appât,3,v2p012,3,"qui, lui, signifie en effet, 'appat, leurre, appeau, tromper"
datz,date,3,v1p208,2,nsatz v.95. : /anc d / mas mi datz v.101. : /anc d'el / — s
motz,mot,3,v1p049,3,"motz par . Dès lors, n'es"
preux,peux,3,v2p026,3,"e sais et c'est la vérité: un preux chevalier intime, lorsqu"
stylistiques,stylistique,3,v1p107,3,t également d'autres éléments stylistiques qui contribuent à mettre
calamarsa,calamars,2,v2p090,2,"LOM I DOMENECH, 'Cat. anc. , calamarsa', dans , III (1951-1952)"
chaut,haut,2,v1p289,2,"is de mon malheur, il ne vous chaut guère car -puisque je ne"
châtient,châtiment,2,v2p094,2,eux me sont des verges qui me châtient tellement le coeur avec
clau,clan,2,v1p057,1,laqual en si clau e conte perfiecha senten
clus,plus,2,v1p054,2,"e Charakteristikum des trobar clus ausgesprochen ist"" ( )."
courtil,coutil,2,v1p080,2,"peut avoir de plaisir en son courtil', en sa propre demeure) o"
crit,croit,2,v1p055,2,"ir Stanislas STRONSKI, , éd. crit., Cracovie, Académie des"
cîme,came,2,v1p120,2,et [qu'apparaissent] dans la cîme les premières feuilles d
douz,doux,2,v1p039,2,"ction de coordination: Cars, douz / E fenhz (v.1) Cars joi"
enpres,entres,2,v2p066,1,las ancas fos enpres enguan talan si fos enpr
fûmes,fumes,2,v1p170,2,"e ne vous vois pas là où nous fûmes ensemble, ne croyez pas"
ined,inde,2,v2p228,2,"10. , I, 84. C. APPEL, Prov. ined., 263. A. JEANROY, , XV"
lices,liées,2,v1p220,2,"lier et se battre avec lui en lices, mais qui plus est il le"
lige,lire,2,v1p151,2,"e : 'Dame, si votre homme (lige) perd quoi que ce soit,"
nouv,nous,2,v1p072,2,"D, , Bordeaux, SORDOÏ, 1976 (nouv. éd.), pp.146-147, § 153"
pèche,poche,2,v1p235,2,"surpasse tous car, moi, je ne pèche pas comme un fou (vv.22-"
référent,référant,2,v2p136,2,"rne tout entière vers un même référent collectif, dont la est"
spécularisation,sécularisation,2,v1p246,1,"texte se présente comme une ""spécularisation"" d'un certain nombre d'a"
subst,subit,2,v2p077,2,"cette structure adv.+ adj. + subst. Quoi qu'il en soit, on"
supportai,supportais,2,v1p174,2,"oute la fausseté qu'hélas! je supportai. Noblement, tu me l'enle"
talan,talon,2,v1p088,2,"me volges absolvre Ben ai fol talan, per Crist som soudar*."
tenhz,tenez,2,v1p039,2,"genhz (v.10) Cars, bruns / E tenhz (v.19) Cela étant, nous"
vîmes,dîmes,2,v1p213,1,"Quand nous nous vîmes, mon coeur sauta aussitô"
acout,atout,1,v2p172,1,"XXVI et XXXIX. Voir e.a. (acout), ... Voir e.a. ..."
aitan,gitan,1,v1p239,1,egres ni chautz; per so pretz aitan los ripautz qe van las a
aplatar,aplatir,1,v2p163,1,ars | qrill | pom | tenhz | | aplatar | davallar | espatla | l
appa,papa,1,v1p029,1,"t peu de chansons distinctes, appa- Il ne nous sembla pas"
apriorismes,apriorisme,1,v2p103,1,leur réflexion fondée sur des apriorismes ne tenant compte en aucu
aques,laques,1,v2p113,1,"m'oyris / que s'om trobat non aques, robaria, Car Amour m'a"
argumen,argument,1,v1p151,1,"ète à faire usage d'une autre argumen­ tation, moins cynique e"
attes,actes,1,v1p177,1,"orme que nous avons ici n'est attes- , p.300. On pourra"
ausser,fausser,1,v2p032,1,", gemeiner Fasslichkeit, wird ausser durch die Synonymität vo"
autana,autant,1,v2p163,1,| lata | prest | tiran | | autana | derc | esquer | lenhz
auzels,autels,1,v1p185,1,"der H. SCHUTZ, appelé ""Dels auzels Cassadors"", Columbus, Th"
avantar,avatar,1,v2p163,1,lenhz | putnais | tiriaca | | avantar | derengar | esquirols |
belh,bel,1,v2p139,1,Assatz m'es belh que de novelh fassa pare
benignes,bénignes,1,v1p063,1,"igne, cigne) et en (signes, benignes, malignes, dignes) . Pil"
besogna,besogne,1,v2p163,1,rucs | maca | raba | trap | | besogna | desaventura | fanc | m
bourbonn,bourbon,1,v1p136,1,"rnit guère que (bberr.), (bourbonn.), (Centr.), (Saint"
braillant,brillant,1,v1p220,1,"qui plus est il le ferait en ""braillant"", c'est-à-dire en se com"
bretols,bretons,1,v2p161,1,autar gasurs lams sobregensar bretols desazegar geliva malastr
bricolas,bricoles,1,v1p161,1,"ifiant 'a demi sec' : ""quatre bricolas de mascle entresec, quat"
bâteau,bateau,1,v1p051,1,u' trouble . Car ni nef ni bâteau ni fleuve dans lequel je
cabru,cabré,1,v1p026,1,"lorsqu'on voit que, chez Mar- cabru, 7 manuscrits sur 15 rep"
campanulo,campanule,1,v2p089,1,"mino sulla del bianco fiore campanulo, come se fosse la più vi"
castr,caser,1,v1p061,1,"Cahors , Tarn, castr. , Aveyron , , , ,"
cayez,ayez,1,v1p044,1,"M. RAYNOUARD, quartarayda, cayez, cayraduras, escaire, sc"
chansson,chanson,1,v2p139,1,"u un sonet nou on ferm'e latz chansson (XVIII,1-6) A mon ver"
chrême,chrome,1,v2p045,1,", par mon chef en lequel Son chrême est mis, il n'y a de par"
cigne,ligne,1,v1p063,1,"ne, benigne, digne, maldigne, cigne) et en (signes, benign"
clairer,claire,1,v1p126,1,nombre de dérivés de l'afr. 'clairer' avec la signification de
coig,coin,1,v1p097,1,oig | | N | — | mescoig | mes coig | | N | m'esconh | mesc
coire,croire,1,v2p163,1,yrique occitane | absolvre | coire | domde | fraisse | ompl
colom,colon,1,v2p163,1,| omplir | rotz | | afatar | colom | encadenar | galardia |
comde,comme,1,v2p163,1,irar | senhoria | | afrenar | comde | endreich | gesta | per
cond,fond,1,v1p266,1,".a. ,p.60.- Pour la valeur du cond.II, voir e.a. ,p.261."
conh,con,1,v2p164,1,tz | tempesta | | | broigna | conh | mela | teuna | | | cal
consis,concis,1,v1p208,1,"n ses propres dires, ""Aa read consis- Voir aussi , p.81.-"
consonnances,consonances,1,v1p147,1,upant des mots homonymes ou à consonnances voisines (voir Heinrich
cornar,corner,1,v2p163,1,deis | sescas | | amonestar | cornar | ermitas | glat | planc
cotz,coté,1,v2p163,1,loros | sobreplus | | ancas | cotz | esclatar | qrezesc | p
courtise,courtiser,1,v2p008,1,"nant tient pour fardeau si je courtise sa femme — certes, pourq"
coïng,coing,1,v1p097,1,| m'esconh | mescoing | mes coïng | | a | m'escon | m'esco
cuers,chers,1,v2p163,1,plom | tempestar | | anctos | cuers | esfilars | qrill | pom
cèle,gèle,1,v2p080,1,"eur hardi. Et chacun cache et cèle à l'autre, par ce marché"
desir,désir,1,v2p026,1,"de mort ni de prison, Midonz desir*, le bien que vous devri"
devinars,devinais,1,v2p163,1,igiosos | vouta. | | cervel | devinars | forest | nars | rimar
dubi,subi,1,v2p034,1,"Aussi bien, nous restons fort dubi- Voir les pages déjà c"
déchoie,échoie,1,v2p031,1,"travail devienne de la sorte, déchoie à un tel niveau; car déj"
déchois,déchoir,1,v1p169,1,"oyen détourné ou si je tombe (déchois), que je sois alors jeté"
enclès,enclos,1,v1p067,1,"... / qu'... semble de rien / enclès avec ... / ... en filh,"
ententa,entente,1,v1p086,1,'aura amara som som soma soma ententa soma soma Brètol / Brètz
escaire,escadre,1,v1p044,1,"artarayda, cayez, cayraduras, escaire, scayrador, bescayre ibi"
escarrer,escarre,1,v1p044,1,"cayrador, bescayre ibid. s.v. escarrer*). Le lecteur aura re"
escrit,esprit,1,v1p261,1,mas no say que s'es escoutetz escrit trauc traucar durchboh
esmai,essai,1,v1p208,1,"spectivement /de laï/ et /del esmai/. Cependant, à considére"
esquir,esquif,1,v2p161,1,sflaujir romanza cana ensimar esquir tendilh Tableau II : N
fadesc,fades,1,v2p161,1,aimbaut ablasmans desabricar fadesc groigna rimeta acortilha
fanc,fan,1,v2p163,1,p | | besogna | desaventura | fanc | malastre | raca | tras
fatz,fat,1,v2p133,1,"e'l pauc e'l gran. Ja per los fatz non er lauatz, car non c"
fautar,fauter,1,v2p161,1,ozar degertz entresecar mesbe fautar bederesc demerar esclaca
fenir,venir,1,v2p112,1,", pois tant gen sap esmedar e fenir. (XV,17-24) Je trouve"
filh,fils,1,v1p067,1,"en / enclès avec ... / ... en filh, j'aurai...""]] e"
fizel,fiel,1,v1p135,1,de ces mots ambigus: ``` mal fizel (v.28) trachor ↔ segurs
fonctionnalise,fonctionnarise,1,v1p149,1,"re ce vers de cette façon, on fonctionnalise le qui, dans la traduc"
fonctionnalisé,fonctionnalité,1,v2p172,1,"l est dépassé ou poétiquement fonctionnalisé. Ainsi, nous avons vu qu"
fonctionnalisées,fonctionnarisées,1,v2p078,1,"les peuvent parfaitement être fonctionnalisées. En ce qui concerne , i"
forgeur,forger,1,v2p076,1,"mbaut est réputé pour être un forgeur de mots, mais en cette m"
fraisse,graisse,1,v2p163,1,| absolvre | coire | domde | fraisse | omplir | rotz | | afat
fusse,fasse,1,v1p113,1,"me permettre (autant) que je fusse tout le temps son , j'e"
gibre,libre,1,v2p163,1,iziva | compassars | entrar | gibre | peronhar | sesal | | a
gique,pique,1,v1p071,1,"gique, il faudrait dès lors pr"
glat,plat,1,v2p163,1,monestar | cornar | ermitas | glat | plancas | simples | |
glosant,closant,1,v2p091,1,"plus loin dans cette voie en glosant: ""Mais une gentille fée"
grazir,gravir,1,v1p268,1,I trovatori d'Italia agradar grazir c'an7 om non deu agradar
grimar,grimer,1,v2p161,1,gamen sobresabens conglapis grimar pelaudar timi Avons-nou
groigna,grogna,1,v2p161,1,ablasmans desabricar fadesc groigna rimeta acortilhar desatr
guères,guère,1,v1p110,1,"ter how much"") ne nous paraît guères justifiée. Personnelleme"
havr,haïr,1,v1p137,1,"ntexte de ce poème, p.ex.: (havr.) 'méchante femme', 'ros"
idéalité,idéalisé,1,v2p120,1,"écisément en raison de cette ""idéalité"", est qualifié de et"
indé,inné,1,v1p233,1,"e d'autant plus, qu'à le lire indé- , p.138 Voir , t"
influencaient,influençaient,1,v1p008,1,"plexité qui, de plus en plus, influencaient le . A ce propos, on no"
instinctu,instinct,1,v1p106,1,"tte règle: ""nisi forte divino instinctu fiat, ad exemplum fortit"
intented,intenter,1,v1p118,1,"o approach, come near' may be intented 'with a blow near at han"
iorn,ion,1,v1p073,1,lo iorn que'm fes lïeys ayzir -
istorique,historique,1,v1p205,1,romanes Phonétique Grammaire istorique [sic!] des parlers prove
ième,sème,1,v2p202,1,"101 pp. (Collection Lebègue, 5ième Série, 55). - RIEGER, D"
jappe,nappe,1,v1p248,1,"prix, quel que soit celui qui jappe à ce propos! Donc, le l"
jetz,jeté,1,v2p041,1,"chliesst sich dann sa an (jetz v.10, dann v.15)"" . D'a"
jois,dois,1,v1p039,1,"rs, douz / E fenhz (v.1) Cars jois / E genhz (v.10) Cars, b"
joves,joues,1,v1p128,1,"c, cortes e plazentier; Gens, joves cors, frances e verais ("
laissai,laissait,1,v2p074,1,"reux! Car par infortune je me laissai choir et puis, je vins q"
larc,parc,1,v2p112,1,"l nesc' gen parl , e l'escars larc, e leial lo truan, e'l f"
lasc,lac,1,v2p141,1,"vers lui-même, quand il sera lasc' (texte et traduction dan"
legiers,leviers,1,v1p194,1,gen qu'ar tost salh for motz legiers --------- cortes talens
lorgne,borgne,1,v1p066,1,récie et montre [du doigt] et lorgne — ce dont elle brise et
maldigne,maligne,1,v1p063,1,"(signe, benigne, digne, maldigne, cigne) et en (signes,"
malgrat,malfrat,1,v2p163,1,| | bort | descort | festa | malgrat | recalivar | umors | |
manife,manie,1,v1p005,1,de ce dernier est d'ailleurs manife- Pour tout renseigneme
marves,maries,1,v2p163,1,braca | deshonors | feutre | marves | regla | veire | | cali
mesbe,messe,1,v2p161,1,es atozar degertz entresecar mesbe fautar bederesc demerar
metre,mettre,1,v2p265,1,"RADAR XXIII, 100 — AMAIRE (se metre) XXV, 5 — ANC XXXVIII, 2"
minaudier,minauder,1,v2p006,1,"tion d'ordre assez ambigu : ""minaudier..., affecté..."" ( , t.I,"
mitige,litige,1,v1p205,1,pour son malheur (v.47) mais mitige immédiatement cette excl
mizels,miels,1,v2p164,1,teuna | | | calafatar| fetg | mizels | tiure | | | cisclar |
musicae,musicale,1,v2p208,1,"t, 1958, XVI + 300 pp. (Summa musicae Medii Aevi, III). , Da"
naquis,naquit,1,v1p155,1,rin et douleur et pleurs. Je naquis de mère sous une mauvais
nars,gars,1,v2p163,1,"cervel | devinars | forest | nars | rimar | Reste donc, a"
objecti,objectif,1,v1p025,1,devait avoir des raisons soit objecti- Vu la disparité des a
occure,occupe,1,v1p010,1,"ain word"" qui, chez Raimbaut, occure soit dans chaque vers de"
ogan,oman,1,v2p133,1,"peil torn mos trobars, que ja ogan lo lauzon lo bon — e'l p"
omplir,emplir,1,v2p163,1,e | coire | domde | fraisse | omplir | rotz | | afatar | colo
paillard,gaillard,1,v2p078,1,également le diminutif de ('paillard') . En ce qui nous conce
pauc,parc,1,v2p133,1,a ogan lo lauzon lo bon — e'l pauc e'l gran. Ja per los fat
permetterez,permettrez,1,v1p296,1,blâmer en rien. Mais vous me permetterez bien d'en parler — oui!
piaille,paille,1,v1p066,1,"urne vers dont il chante et piaille, [chose] par laquelle je"
plaideis,plaides,1,v2p163,1,vertir | envilir | gingibre | plaideis | sescas | | amonestar |
plom,plomb,1,v2p163,1,| cotz | esclatar | qrezesc | plom | tempestar | | anctos |
poeme,pomme,1,v2p133,1,"que si quelqu'un le fait [=le poeme] facilement, et de façon"
polysémies,polysémie,1,v2p126,1,"e différents niveaux de sens: polysémies, effets de sens, ambiguï"
possés,passés,1,v1p165,1,"rendre compte, les problèmes possés par ces deux vers sont a"
périg,péril,1,v1p061,1,", , , , , blim. (...) périg. ... . Toutes ces form"
qrill,grill,1,v2p163,1,| anctos | cuers | esfilars | qrill | pom | tenhz | | aplata
ques,que,1,v1p040,1,"per alcuna semblansa del so, ques fay per la causa a cuy e"
quils,quels,1,v2p163,1,rengar | esquirols | libres | quils | tom | | beort | desast
raca,race,1,v2p163,1,saventura | fanc | malastre | raca | trastornar | | bort |
relai,relais,1,v2p121,1,", et c'est par quoi il est , relai et source des valeurs d'"
respec,respect,1,v1p024,1,l'on représente les positions respec- Voir à ce propos d'Ar
riaux,rivaux,1,v1p028,1,riaux textuels tant connus qu'
rimaires,primaires,1,v2p053,1,— que si les dictionnaires et rimaires se trompaient effectivem
rimeta,rimera,1,v2p161,1,ans desabricar fadesc groigna rimeta acortilhar desatrucs fla
rizen,rien,1,v2p070,1,t. s.c. ad autrui don ai cor rizen Aimeric de Belenoi Domna
rotz,rot,1,v2p163,1,| domde | fraisse | omplir | rotz | | afatar | colom | enc
référentielle,préférentielle,1,v2p114,1,"renvoyer à une réalité — non référentielle, bien sûr, mais se situa"
résonnance,résonance,1,v2p121,1,'une tradition. Le pouvoir de résonnance d'un cliché dépendra évi
résonnances,résonances,1,v2p173,1,"ure poétique par la vertu des résonnances qu'ils évoquent, devienn"
sabata,sabota,1,v2p164,1,| bezonh | ensacar | japar | sabata | | | blaca | enteǧre |
sablon,salon,1,v1p048,1,"v.13 Le sens 'recoupe, sablon', que donne Emil Levy au"
salh,sale,1,v1p194,1,emor --------- gen qu'ar tost salh for motz legiers -------
sesal,sisal,1,v2p163,1,| entrar | gibre | peronhar | sesal | | atemprar | convertir
siura,saura,1,v2p161,1,lhar desatrucs flaujar guimar siura atacar desazautar gasurs
sollicitai,sollicitais,1,v2p018,1,ure) que je la loue et que je sollicitai son amour. J'ai mon coe
sonet,sont,1,v2p139,1,"ls (XVII,1-5) Aissi mou un sonet nou on ferm'e latz chans"
soudar,souder,1,v1p088,1,"n ai fol talan, per Crist som soudar*. Si l'on retient unique"
souvenance,soutenance,1,v1p100,1,telle croissance que je n'ai souvenance de rien d'autre et que c
souvins,souviens,1,v1p213,1,"epuis que je la vis, je ne me souvins d'autre chose! Quand no"
subjonctifs,subjonctif,1,v1p237,1,Pattison ne justifie pas les subjonctifs de cette subordonnée.
symmétrie,symétrie,1,v2p029,1,"egretter la disparition de la symmétrie des anti- , p.214."
séantique,sémantique,1,v2p168,1,"au (de par sa ""transparence séantique"") , il n'en demeure pas"
tatif,tarif,1,v2p035,1,tatif quant à l'attitude à ado
tation,station,1,v1p151,1,"re usage d'une autre argumen­ tation, moins cynique et, appar"
tenc,tenu,1,v1p208,1,"la leçon du ms. a : /qe no'm tenc/, 'car je n'offre pas de"
terdit,perdit,1,v2p092,1,terdit complètement (trop) . No
tiraille,tirailler,1,v1p260,1,", soir et matin, votre vue me tiraille le corps!"
tiure,tire,1,v2p164,1,| calafatar| fetg | mizels | tiure | | | cisclar | fiansar
tives,tires,1,v1p025,1,tives accordées au nombre de c
toponyme,toponymie,1,v1p244,1,"château de Puivert d'Aude: le toponyme ""Puivert"" n'apparaît qu'"
tordar,tordra,1,v1p088,1,des ou le sémantisme: 'us de tordar/ 'm pert ma par sapcha
tortre,torture,1,v2p164,1,| cisclar | fiansar | novia | tortre | | Si l'on ajoute à ce
tota,total,1,v1p057,1,"echa sentensa (...) e enayssi tota cobla es vicioza, si no"
traditionnaliste,traditionaliste,1,v1p013,1,baut d'Orange est tout autant traditionnaliste qu'innovateur: il rassem
traitres,traites,1,v2p057,1,"leurs faux cris, des fâcheux traitres, et autant que cela, je"
trauc,truc,1,v1p261,1,"y que s'es escoutetz escrit trauc traucar durchbohren, ers"
trit,toit,1,v1p158,1,que si l'identification entre trit et trois proposée par Pa
trob,trop,1,v2p112,1,"Ancaras trob mais de ben en Amor, qe'"
troba,troua,1,v2p036,1,ience commune de la tradition troba doresque qu'ils partagen
trogne,rogne,1,v2p009,1,"ujourd'hui une pustule sur sa trogne, s'il s'en irrite que je"
tropologique,topologique,1,v2p143,1,ent de toute façon à l'espace tropologique ( ) de l'invention dont
truan,truand,1,v2p112,1,", e l'escars larc, e leial lo truan, e'l fol savi, e'l peco"
truïs,trucs,1,v1p158,1,"nte, l'émendation de trois en truïs, elle, ne l'est pas."
turelle,tutelle,1,v2p167,1,turelle dans le langage poétique
umors,mors,1,v2p163,1,festa | malgrat | recalivar | umors | | braca | deshonors |
uvre,ouvre,1,v1p077,1,"ertes pas une constante de l'œuvre de Raimbaut d'Orange , c"
uvres,ouvres,1,v1p023,1,scrite qui nous transmet les œuvres de ces troubadours quelq
veire,verre,1,v2p163,1,s | feutre | marves | regla | veire | | calivar | devinansa
venser,penser,1,v2p022,1,"eu sai, ez es vertatz razonar venser ouv. cité esser dever sa"
verais,serais,1,v1p128,1,"; Gens, joves cors, frances e verais (Bertrand de Born) ; be"
verere,verre,1,v1p166,1,"vv.19-22): ""So wahr ich Gott verere, ein treuer Liebhaber bi"
versifie,versifier,1,v1p204,1,ient de dire qu'il aime et/ou versifie de manière parfaite car
vocalisée,localisée,1,v1p205,1,"qui affirme que ""l finale est vocalisée à peu près sans exceptio"
volges,voles,1,v1p088,1,sv.); 'a volvre/ 'Amors me volges absolvre Ben ai fol tala
vouta,voua,1,v2p163,1,flums | milena | religiosos | vouta. | | cervel | devinars |
váin,vin,1,v1p085,1,"elon laquelle signifierait 'váin, trompeur espoir', soit"
vînt,vont,1,v2p109,1,i longtemps attendu [qu'il me vînt] un sujet agréable sur l
épurement,purement,1,v2p167,1,serait le cas inverse — d'un épurement toujours plus sévère de
